artist_name,start_date,end_date,stage,stage_latitude,stage_longitude,day
Lamebrain,9/27/23 4.30 PM,9/27/23 5.00 PM,Alternative Stage,-6.220093561,106.7994224,3
Gigi,9/27/23 4.45 PM,9/27/23 5.30 PM,Pestapora IM3,-6.217197051,106.7994883,3
FSTVLST,9/27/23 4.45 PM,9/27/23 5.30 PM,Boss Stage,-6.217307514,106.8044678,3
Young Lex,9/27/23 4.45 PM,9/27/23 5.30 PM,Riang Gembira,-6.217556546,106.8010231,3
Kunto Aji,9/27/23 5.00 PM,9/27/23 5.45 PM,Gegap Gempita,-6.219200841,106.8004699,3
Jiung,9/27/23 5.00 PM,9/27/23 5.45 PM,Hingar Bingar,-6.219256549,106.7995374,3
D’Jenks X Articial Life,9/27/23 5.00 PM,9/27/23 5.45 PM,Klab Klub,-6.217429041,106.8025604,3
Gaung,9/27/23 5.15 PM,9/27/23 5.45 PM,Alternative Stage,-6.220093561,106.7994224,3
Sunset Take Over – Elkarmoya Mariachi Mode,9/27/23 5.45 PM,9/27/23 6.15 PM,Alternative Stage,-6.220093561,106.7994224,3
Hasoe Angel,9/27/23 6.00 PM,9/27/23 6.40 PM,Pop Up Stage,-6.217073466,106.807393,3
Parade Hujan,9/27/23 6.15 PM,9/27/23 7.00 PM,Gegap Gempita,-6.219200841,106.8004699,3
Reality Club,9/27/23 6.15 PM,9/27/23 7.00 PM,Boss Stage,-6.217307514,106.8044678,3
Grrrl Gang,9/27/23 6.15 PM,9/27/23 7.00 PM,Riang Gembira,-6.217556546,106.8010231,3
Begundal Lowokwaru,9/27/23 6.15 PM,9/27/23 7.00 PM,Klab Klub,-6.217429041,106.8025604,3
Impromptu,9/27/23 6.15 PM,9/27/23 6.45 PM,Alternative Stage,-6.220093561,106.7994224,3
JKT 48,9/27/23 6.40 PM,9/27/23 7.25 PM,Pestapora IM3,-6.217197051,106.7994883,3
"Host: Adjisdoaibu, Nury Zhafira, Ardit Erwandha",9/27/23 7.00 PM,9/27/23 7.30 PM,StandupIndo,-6.220444814,106.8046108,3
NTRL,9/27/23 7.00 PM,9/27/23 7.45 PM,Hingar Bingar,-6.219256549,106.7995374,3
Mother Bank,9/27/23 7.00 PM,9/27/23 7.25 PM,Yes No Klub,-6.216075586,106.8018606,3
Girl Anda Her Mood,9/27/23 7.00 PM,9/27/23 7.30 PM,Alternative Stage,-6.220093561,106.7994224,3
DOM 65,9/27/23 7.20 PM,9/27/23 8.05 PM,Klab Klub,-6.217429041,106.8025604,3
Sherina,9/27/23 7.30 PM,9/27/23 8.15 PM,Gegap Gempita,-6.219200841,106.8004699,3
